Species,Abundance,Leray
Hake Silver,67,5
Hake Red,5,3
Flounder Winter,2,1
Redfish Acadian Perch,2,1
Plaice American,2,2
Butterfish,3,1
Hake White,1,1
Alewife,4,1
Haddock,3,1
Sculpin Longhorn,2,1
Dogfish Spiny,1,1
Fourbeard Rockling,1,1
Monkfish,0,1
Herring Blueback,0,1
Shad American,0,3
Flounder Yellowtail,1,0
Herring Atlantic,0,0
Skate Thorny,0,3
Cod Atlantic,0,0
Skate Little,0,0
Lumpfish,0,0
Flounder Fourspot,0,0
Halibut Atlantic,0,0
Skate Barndoor,0,0
Sea Raven,0,0
Pollock,0,0
Alligatorfish,0,0
Wrymouth,0,0
Flounder Windowpane,0,0
Pandaulus Shrimp,3,9
Sea Scallop,3,0
Lobster,2,1
Northern Shrimp,3,0
Jonah Crab,2,0
Norwegian Shrimp,2,5
Squid Shortfin,1,1
Squid Longfin,0,0
Octopus Spoonarm,0,0
Rock Crab,0,0
Crangon Shrimp,0,0
Toad Crab,0,0
Northern Krill,0,4
Sea Pen,0,2
Ocean Quahog,0,0
Northern Cardita,0,0