Survey,Season,Tow_Number,Region,Common_Name,Number_Caught
SP23,Spring,18,2,,37
SP23,Spring,18,2,Cod Atlantic,2
SP23,Spring,18,2,Crab Jonah,6
SP23,Spring,18,2,Flounder Atlantic Witch (Gray Sole),13
SP23,Spring,18,2,Flounder Winter,4
SP23,Spring,18,2,Flounder Yellowtail,2
SP23,Spring,18,2,Haddock,15
SP23,Spring,18,2,Hake Atlantic Red,79
SP23,Spring,18,2,Hake Silver (Whiting),925
SP23,Spring,18,2,Hake White,8
SP23,Spring,18,2,Herring Blueback,3
SP23,Spring,18,2,Lobster American,3
SP23,Spring,18,2,Monkfish,1
SP23,Spring,18,2,Plaice American (Dab),24
SP23,Spring,18,2,Redfish Acadian Ocean Perch,56
SP23,Spring,18,2,Scallop Sea,33
SP23,Spring,18,2,Sculpin Longhorn,1
SP23,Spring,18,2,Sea Sponges,
SP23,Spring,18,2,Shad American,2
SP23,Spring,18,2,Shrimp Dichelo,145
SP23,Spring,18,2,Shrimp Northern,40
SP23,Spring,19,2,,3
SP23,Spring,19,2,Crab Jonah,3
SP23,Spring,19,2,Flounder Atlantic Witch (Gray Sole),17
SP23,Spring,19,2,Flounder Fourspot,1
SP23,Spring,19,2,Fourbeard Rockling,1
SP23,Spring,19,2,Haddock,4
SP23,Spring,19,2,Hake Atlantic Red,117
SP23,Spring,19,2,Hake Silver (Whiting),1501
SP23,Spring,19,2,Hake White,13
SP23,Spring,19,2,Herring Blueback,3
SP23,Spring,19,2,Lobster American,2
SP23,Spring,19,2,Monkfish,4
SP23,Spring,19,2,Plaice American (Dab),25
SP23,Spring,19,2,Pollock,1
SP23,Spring,19,2,Redfish Acadian Ocean Perch,162
SP23,Spring,19,2,Scallop Sea,222
SP23,Spring,19,2,Sea Anemone,1
SP23,Spring,19,2,Sea Sponges,
SP23,Spring,19,2,Shad American,2
SP23,Spring,19,2,Shrimp Dichelo,51
SP23,Spring,19,2,Shrimp Northern,16
SP23,Spring,20,2,,1
SP23,Spring,20,2,Cod Atlantic,2
SP23,Spring,20,2,Crab Jonah,10
SP23,Spring,20,2,Dogfish Spiny,1
SP23,Spring,20,2,Flounder Atlantic Witch (Gray Sole),47
SP23,Spring,20,2,Flounder Fourspot,1
SP23,Spring,20,2,Flounder Yellowtail,3
SP23,Spring,20,2,Fourbeard Rockling,3
SP23,Spring,20,2,Haddock,56
SP23,Spring,20,2,Hake Atlantic Red,167
SP23,Spring,20,2,Hake Silver (Whiting),3020
SP23,Spring,20,2,Hake White,25
SP23,Spring,20,2,Lobster American,1
SP23,Spring,20,2,Monkfish,3
SP23,Spring,20,2,Plaice American (Dab),24
SP23,Spring,20,2,Pollock,1
SP23,Spring,20,2,Redfish Acadian Ocean Perch,9
SP23,Spring,20,2,Scallop Sea,155
SP23,Spring,20,2,Sea Anemone,
SP23,Spring,20,2,Seaweed Unc,
SP23,Spring,20,2,Shrimp Dichelo,102
SP23,Spring,20,2,Shrimp Northern,8
SP23,Spring,20,2,Skate Thorny,2
SP23,Spring,88,5,,42
SP23,Spring,88,5,Butterfish,1
SP23,Spring,88,5,Crab Jonah,3
SP23,Spring,88,5,Flounder Atlantic Witch (Gray Sole),2
SP23,Spring,88,5,Flounder Fourspot,1
SP23,Spring,88,5,Flounder Winter,47
SP23,Spring,88,5,Haddock,1
SP23,Spring,88,5,Hake Atlantic Red,21
SP23,Spring,88,5,Hake Silver (Whiting),4799
SP23,Spring,88,5,Hake White,7
SP23,Spring,88,5,Herring Blueback,1
SP23,Spring,88,5,Lobster American,1
SP23,Spring,88,5,Lumpfish,1
SP23,Spring,88,5,Octopus Spoonarm,2
SP23,Spring,88,5,Plaice American (Dab),2
SP23,Spring,88,5,Scallop Sea,9
SP23,Spring,88,5,Shad American,1
SP23,Spring,88,5,Shrimp Dichelo,97
SP23,Spring,88,5,Shrimp Montagui,1
SP23,Spring,94,5,,22
SP23,Spring,94,5,Crab Jonah,5
SP23,Spring,94,5,Crab Toad,3
SP23,Spring,94,5,Flounder Atlantic Windowpane (Sand Dab ),1
SP23,Spring,94,5,Flounder Atlantic Witch (Gray Sole),1
SP23,Spring,94,5,Flounder Winter,331
SP23,Spring,94,5,Hake Atlantic Red,66
SP23,Spring,94,5,Hake Silver (Whiting),171
SP23,Spring,94,5,Hake White,4
SP23,Spring,94,5,Halibut Atlantic,2
SP23,Spring,94,5,Herring Blueback,1
SP23,Spring,94,5,Jelly Comb,
SP23,Spring,94,5,Lobster American,30
SP23,Spring,94,5,Monkfish,1
SP23,Spring,94,5,Plaice American (Dab),1
SP23,Spring,94,5,Redfish Acadian Ocean Perch,3
SP23,Spring,94,5,Scallop Sea,2
SP23,Spring,94,5,Sculpin Longhorn,20
SP23,Spring,94,5,Seaweed Unc,
SP23,Spring,94,5,Shad American,2
SP23,Spring,94,5,Shrimp Dichelo,214
SP23,Spring,94,5,Shrimp Montagui,7
SP23,Spring,94,5,Squid Long Finned,2
SP23,Spring,96,5,,6
SP23,Spring,96,5,Alligatorfish,1
SP23,Spring,96,5,Butterfish,1
SP23,Spring,96,5,Crab Jonah,18
SP23,Spring,96,5,Flounder Winter,82
SP23,Spring,96,5,Hake Atlantic Red,17
SP23,Spring,96,5,Hake Silver (Whiting),17
SP23,Spring,96,5,Hake White,2
SP23,Spring,96,5,Jelly Comb,
SP23,Spring,96,5,Lobster American,323
SP23,Spring,96,5,Lumpfish,2
SP23,Spring,96,5,Monkfish,2
SP23,Spring,96,5,Northern Cyclocardia,1
SP23,Spring,96,5,Sculpin Longhorn,17
SP23,Spring,96,5,Sea Raven,1
SP23,Spring,96,5,Shad American,1
SP23,Spring,96,5,Shrimp Crangon,1
SP23,Spring,96,5,Shrimp Dichelo,68
SP23,Spring,96,5,Shrimp Montagui,1
SP23,Spring,96,5,Squid Long Finned,3
FL23,Fall,18,2,Crab Jonah,1
FL23,Fall,18,2,Dogfish Spiny,19
FL23,Fall,18,2,Flounder Atlantic Witch (Gray Sole),61
FL23,Fall,18,2,Fourbeard Rockling,6
FL23,Fall,18,2,Hake Atlantic Red,250
FL23,Fall,18,2,Hake Silver (Whiting),2
FL23,Fall,18,2,Hake Silver (Whiting),298
FL23,Fall,18,2,Hake White,17
FL23,Fall,18,2,Monkfish,4
FL23,Fall,18,2,Plaice American (Dab),58
FL23,Fall,18,2,Redfish Acadian Ocean Perch,13
FL23,Fall,18,2,Scallop Sea,342
FL23,Fall,18,2,Shrimp Dichelo,108
FL23,Fall,18,2,Shrimp Northern,4
FL23,Fall,18,2,Shrimp Norwegian,12
FL23,Fall,18,2,Squid Short-Finned,3
FL23,Fall,18,2,Star Brittle,
FL23,Fall,19,2,Crab Jonah,1
FL23,Fall,19,2,Dogfish Spiny,25
FL23,Fall,19,2,Flounder Atlantic Witch (Gray Sole),53
FL23,Fall,19,2,Flounder Yellowtail,1
FL23,Fall,19,2,Fourbeard Rockling,5
FL23,Fall,19,2,Hake Atlantic Red,177
FL23,Fall,19,2,Hake Silver (Whiting),2
FL23,Fall,19,2,Hake Silver (Whiting),165
FL23,Fall,19,2,Hake White,14
FL23,Fall,19,2,Krill,1
FL23,Fall,19,2,Monkfish,8
FL23,Fall,19,2,Plaice American (Dab),77
FL23,Fall,19,2,Redfish Acadian Ocean Perch,11
FL23,Fall,19,2,Scallop Sea,212
FL23,Fall,19,2,Sea Pen,2
FL23,Fall,19,2,Shrimp Dichelo,65
FL23,Fall,19,2,Shrimp Northern,9
FL23,Fall,19,2,Shrimp Norwegian,24
FL23,Fall,19,2,Skate Barndoor,1
FL23,Fall,19,2,Skate Thorny,2
FL23,Fall,19,2,Squid Short-Finned,2
FL23,Fall,20,2,Dogfish Spiny,8
FL23,Fall,20,2,Flounder Atlantic Witch (Gray Sole),71
FL23,Fall,20,2,Fourbeard Rockling,8
FL23,Fall,20,2,Haddock,2
FL23,Fall,20,2,Hake Atlantic Red,184
FL23,Fall,20,2,Hake Silver (Whiting),403
FL23,Fall,20,2,Hake Silver (Whiting),2
FL23,Fall,20,2,Hake White,25
FL23,Fall,20,2,Monkfish,5
FL23,Fall,20,2,Plaice American (Dab),43
FL23,Fall,20,2,Redfish Acadian Ocean Perch,3
FL23,Fall,20,2,Scallop Sea,49
FL23,Fall,20,2,Shrimp Dichelo,110
FL23,Fall,20,2,Shrimp Northern,6
FL23,Fall,20,2,Shrimp Norwegian,1
FL23,Fall,20,2,Skate Barndoor,1
FL23,Fall,20,2,Skate Thorny,1
FL23,Fall,20,2,Squid Short-Finned,2
FL23,Fall,20,2,Wrymouth,1
FL23,Fall,72,5,Butterfish,1
FL23,Fall,72,5,Clam Ocean Quahog,1
FL23,Fall,72,5,Crab Jonah,2
FL23,Fall,72,5,Flounder Atlantic Witch (Gray Sole),5
FL23,Fall,72,5,Flounder Winter,68
FL23,Fall,72,5,Flounder Yellowtail,1
FL23,Fall,72,5,Fourbeard Rockling,4
FL23,Fall,72,5,Hake Atlantic Red,120
FL23,Fall,72,5,Hake Silver (Whiting),7
FL23,Fall,72,5,Hake Silver (Whiting),221
FL23,Fall,72,5,Hake White,12
FL23,Fall,72,5,Halibut Atlantic,1
FL23,Fall,72,5,Herring Atlantic,3
FL23,Fall,72,5,Krill,1
FL23,Fall,72,5,Lobster American,41
FL23,Fall,72,5,Octopus Spoonarm,1
FL23,Fall,72,5,Plaice American (Dab),1
FL23,Fall,72,5,Redfish Acadian Ocean Perch,1
FL23,Fall,72,5,Shrimp Dichelo,31
FL23,Fall,72,5,Shrimp Montagui,4
FL23,Fall,75,5,Alewife,7
FL23,Fall,75,5,Butterfish,201
FL23,Fall,75,5,Crab Atlantic Rock,4
FL23,Fall,75,5,Crab Jonah,6
FL23,Fall,75,5,Dogfish Spiny,2
FL23,Fall,75,5,Flounder Winter,24
FL23,Fall,75,5,Fourbeard Rockling,5
FL23,Fall,75,5,Hake Atlantic Red,100
FL23,Fall,75,5,Hake Silver (Whiting),1671
FL23,Fall,75,5,Hake Silver (Whiting),3
FL23,Fall,75,5,Hake White,31
FL23,Fall,75,5,Herring Atlantic,3
FL23,Fall,75,5,Lobster American,336
FL23,Fall,75,5,Octopus Spoonarm,1
FL23,Fall,75,5,Redfish Acadian Ocean Perch,2
FL23,Fall,75,5,Sculpin Longhorn,29
FL23,Fall,75,5,Sea Raven,1
FL23,Fall,75,5,Shrimp Crangon,2
FL23,Fall,75,5,Shrimp Dichelo,31
FL23,Fall,75,5,Skate Little,4
FL23,Fall,75,5,Squid Long Finned,1