Season,Year,TowID,Region,Date,Depth_start_fathoms,n_samples,metaprobe_top,metprobe_bottom,slush
Spring,2023,SP23018,2,5/8/23,69.8,3,1,1,1
Spring,2023,SP23019,2,5/8/23,80,3,1,1,1
Spring,2023,SP23020,2,5/8/23,80.6,3,1,2,1
Spring,2023,SP23088,5,5/30/23,63.5,3,1,1,1
Spring,2023,SP23094,5,5/30/23,44.47,3,1,1,1
Spring,2023,SP23096,5,6/1/23,40.8,3,1,1,1
Fall,2023,FL23018,2,10/2/23,76,3,1,1,1
Fall,2023,FL23019,2,10/2/23,82.9,3,1,1,1
Fall,2023,FL23020,2,10/25/23,69.2,3,1,1,1
Fall,2023,FL23072,5,10/25/23,47.5,3,1,1,1
Fall,2023,FL23075,5,10/26/23,40.5,3,1,1,1