Common_Name,Species,Fish_Invert,Body_Type
Alewife,Alosa pseudoharengus,Fish,Slimy
Alligatorfish,Atractosteus spatula,Fish,Slimy
Butterfish,Peprilus triacanthus,Fish,Slimy
Clam Ocean Quahog ,Artica islandica,Invertebrate,Crunchy
Cod Atlantic,Gadus morhua,Fish,Slimy
Crab Atlantic Rock,Cancer irroratus,Invertebrate,Crunchy
Crab Jonah,Cancer borealis,Invertebrate,Crunchy
Crab Toad,Hyas coarctatus,Invertebrate,Crunchy
Dogfish Spiny,Squalus acanthias,Fish,Slimy
Flounder Atlantic Windowpane (Sand Dab ),Scophthalmus aquosus,Fish,Slimy
Flounder Atlantic Witch (Gray Sole),Glyptocephalus cynoglossus,Fish,Slimy
Flounder Fourspot,Hippoglossina oblonga,Fish,Slimy
Flounder Winter,Pseudopleuronectes americanus,Fish,Slimy
Flounder Yellowtail,Pleuronectes ferruginea,Fish,Slimy
Fourbeard Rockling,Enchelyopus cimbrius,Fish,Slimy
Haddock,Melanogrammus aeglefinus,Fish,Slimy
Hake Atlantic Red,Urophycis chuss,Fish,Slimy
Hake Silver (Whiting),Merluccius bilinearis,Fish,Slimy
Hake White,Urophycis tenuis,Fish,Slimy
Halibut Atlantic,Hippoglossus hippoglossus,Fish,Slimy
Herring Atlantic,Clupea harengus,Fish,Slimy
Herring Blueback,Alosa aestivalis,Fish,Slimy
Jelly Comb,Ctenophora,Invertebrate,Slimy
Krill,Euphausiacea,Invertebrate,Crunchy
Lobster American,Homarus americanus,Invertebrate,Crunchy
Lumpfish,Cyclopterus lumpus,Fish,Slimy
Monkfish,Lophius americanus,Fish,Slimy
Northern Cyclocardia,Cyclocardia borealis,Invertebrate,Crunchy
Octopus Spoonarm,Bathypolypus arcticus,Invertebrate,Slimy
Plaice American (Dab),Hippoglossoides platessoides,Fish,Slimy
Pollock,Pollachius pollachius,Invertebrate,Slimy
Redfish Acadian Ocean Perch,Sebastes fasciatus,Fish,Slimy
Scallop Sea,Placopecten magellanicus,Invertebrate,Crunchy
Sculpin Longhorn,Myoxocephalus octodecemspinosus,Fish,Slimy
Sea Anemone,Actiniaria,Invertebrate,Slimy
Sea Pen,Pennatulacea,Invertebrate,Slimy
Sea Raven,Hemitripterinae,Fish,Slimy
Sea Sponges,Porifera spp.,Invertebrate,Slimy
Seaweed Unc,Seaweed spp.,Seaweed,Slimy
Shad American,Alosa sapidissima,Fish,Slimy
Shrimp Crangon,Crangon vulgaris,Invertebrate,Crunchy
Shrimp Dichelo,Farfantepenaeus duorarum,Invertebrate,Crunchy
Shrimp Montagui,Pandalus montagui,Invertebrate,Crunchy
Shrimp Northern ,Pandalus borealis,Invertebrate,Crunchy
Shrimp Norwegian,Pontophilus norvegicus,Invertebrate,Crunchy
Skate Barndoor,Dipturus laevis,Fish,Slimy
Skate Little,Leucoraja erinacea,Fish,Slimy
Skate Thorny,Ambyyraja radiata,Fish,Slimy
Squid Long Finned,Doryteuthis pealeii,Invertebrate,Slimy
Squid Short-Finned,Illex illecebrosus,Invertebrate,Slimy
Star Brittle,Ophiuroidea,Invertebrate,Crunchy
Wrymouth,Cryptacanthodes maculatus,Fish,Slimy