"Survey","Season","Year","Tow_Number","Region","Stratum","Grid","Date","Common_Name","Number_Caught","Weight_kg","Subsample_Weight_kg","Subsample_Weight_kg_2","Male_Wt_kg","Female_Wt_kg","Expanded_Catch","Expanded_Weight_kg","TowID"
"SP23","Spring",2023,18,"2","4","707",2023-05-08,"Plaice American (Dab)",24,7.68,NA,NA,NA,NA,24,7.68,"SP23018"
"SP23","Spring",2023,18,"2","4","707",2023-05-08,"Redfish Acadian Ocean Perch",56,3.9,NA,NA,NA,NA,56,3.9,"SP23018"
"SP23","Spring",2023,18,"2","4","707",2023-05-08,"Scallop Sea",33,0.72,NA,NA,NA,NA,33,0.72,"SP23018"
"SP23","Spring",2023,18,"2","4","707",2023-05-08,"Sculpin Longhorn",1,0.27,NA,NA,NA,NA,1,0.27,"SP23018"
"SP23","Spring",2023,18,"2","4","707",2023-05-08,"Sea Sponges",NA,0.21,NA,NA,NA,NA,NA,0.21,"SP23018"
"SP23","Spring",2023,18,"2","4","707",2023-05-08,"Shad American",2,0.116,NA,NA,NA,NA,2,0.116,"SP23018"
"SP23","Spring",2023,18,"2","4","707",2023-05-08,"Shrimp Dichelo",145,0.4525,NA,NA,NA,NA,145,0.4525,"SP23018"
"SP23","Spring",2023,18,"2","4","707",2023-05-08,"Shrimp Northern",40,0.486,NA,NA,NA,NA,40,0.486,"SP23018"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Alewife",3,0.62,NA,NA,NA,NA,3,0.62,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Crab Jonah",3,0.142,NA,NA,NA,NA,3,0.142,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Flounder Atlantic Witch (Gray Sole)",17,2.07,NA,NA,NA,NA,17,2.07,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Flounder Fourspot",1,0.062,NA,NA,NA,NA,1,0.062,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Fourbeard Rockling",1,0.05,NA,NA,NA,NA,1,0.05,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Haddock",4,1.01,NA,NA,NA,NA,4,1.01,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Hake Atlantic Red",117,22.412,NA,NA,NA,NA,117,22.412,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Hake Silver (Whiting)",1501,100.06,7.4,NA,NA,NA,1501,100.06,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Hake White",13,2.838,NA,NA,NA,NA,13,2.838,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Herring Blueback",3,0.142,NA,NA,NA,NA,3,0.142,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Lobster American",2,1.07,NA,NA,NA,1.07,2,1.07,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Monkfish",4,1.37,NA,NA,NA,NA,4,1.37,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Plaice American (Dab)",25,10.68,NA,NA,NA,NA,25,10.68,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Pollock",1,0.254,NA,NA,NA,NA,1,0.254,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Redfish Acadian Ocean Perch",162,10.01,6.32,NA,NA,NA,162,10.01,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Scallop Sea",222,2.77,1.32,NA,NA,NA,222,2.77,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Sea Anemone",1,0.022,NA,NA,NA,NA,1,0.022,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Sea Sponges",NA,0.06,NA,NA,NA,NA,NA,0.06,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Shad American",2,0.168,NA,NA,NA,NA,2,0.168,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Shrimp Dichelo",51,0.17,NA,NA,NA,NA,51,0.17,"SP23019"
"SP23","Spring",2023,19,"2","4","736",2023-05-08,"Shrimp Northern",16,0.16,NA,NA,NA,NA,16,0.16,"SP23019"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Alewife",1,0.054,NA,NA,NA,NA,1,0.054,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Cod Atlantic",2,5.44,NA,NA,NA,NA,2,5.44,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Crab Jonah",10,1.57,NA,NA,NA,NA,10,1.57,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Dogfish Spiny",1,1.77,NA,NA,NA,1.77,1,1.77,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Flounder Atlantic Witch (Gray Sole)",47,5.26,NA,NA,NA,NA,47,5.26,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Flounder Fourspot",1,0.02,NA,NA,NA,NA,1,0.02,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Flounder Yellowtail",3,0.55,NA,NA,NA,NA,3,0.55,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Fourbeard Rockling",3,0.198,NA,NA,NA,NA,3,0.198,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Haddock",56,38.73,NA,NA,NA,NA,56,38.73,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Hake Atlantic Red",167,28.02,21.11,NA,NA,NA,167,28.02,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Hake Silver (Whiting)",3020,186.69,7.79,NA,NA,NA,3020,186.69,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Hake White",25,5.21,NA,NA,NA,NA,25,5.21,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Lobster American",1,0.66,NA,NA,NA,0.66,1,0.66,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Monkfish",3,0.76,NA,NA,NA,NA,3,0.76,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Plaice American (Dab)",24,7.98,NA,NA,NA,NA,24,7.98,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Pollock",1,0.25,NA,NA,NA,NA,1,0.25,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Redfish Acadian Ocean Perch",9,0.63,NA,NA,NA,NA,9,0.63,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Scallop Sea",155,1.76,1.28,NA,NA,NA,155,1.76,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Sea Anemone",NA,0.048,NA,NA,NA,NA,NA,0.048,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Seaweed Unc",NA,0.032,NA,NA,NA,NA,NA,0.032,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Shrimp Dichelo",102,0.35,NA,NA,NA,NA,102,0.35,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Shrimp Northern",8,0.09,NA,NA,NA,NA,8,0.09,"SP23020"
"SP23","Spring",2023,20,"2","4","733",2023-05-08,"Skate Thorny",2,8.11,NA,NA,NA,NA,2,8.11,"SP23020"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Alewife",42,4.22,NA,NA,NA,NA,42,4.22,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Butterfish",1,0.06,NA,NA,NA,NA,1,0.06,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Crab Jonah",3,0.6,NA,NA,NA,NA,3,0.6,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Flounder Atlantic Witch (Gray Sole)",2,0.01,NA,NA,NA,NA,2,0.01,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Flounder Fourspot",1,0.07,NA,NA,NA,NA,1,0.07,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Flounder Winter",47,9.64,NA,NA,NA,NA,47,9.64,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Haddock",1,0.12,NA,NA,NA,NA,1,0.12,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Hake Atlantic Red",21,0.64,NA,NA,NA,NA,21,0.64,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Hake Silver (Whiting)",4799,388.31,8.82,NA,NA,NA,4799,388.31,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Hake White",7,1.08,NA,NA,NA,NA,7,1.08,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Herring Blueback",1,0.02,NA,NA,NA,NA,1,0.02,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Lobster American",1,0.71,NA,NA,NA,0.71,1,0.71,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Lumpfish",1,0.44,NA,NA,NA,NA,1,0.44,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Octopus Spoonarm",2,0.04,NA,NA,NA,NA,2,0.04,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Plaice American (Dab)",2,0.39,NA,NA,NA,NA,2,0.39,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Scallop Sea",9,0.74,NA,NA,NA,NA,9,0.74,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Shad American",1,0.06,NA,NA,NA,NA,1,0.06,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Shrimp Dichelo",97,0.37,NA,NA,NA,NA,97,0.37,"SP23088"
"SP23","Spring",2023,88,"5","4","681",2023-05-30,"Shrimp Montagui",1,0.002,NA,NA,NA,NA,1,0.002,"SP23088"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Alewife",22,0.45,NA,NA,NA,NA,22,0.45,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Crab Jonah",5,1.18,NA,NA,NA,NA,5,1.18,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Crab Toad",3,0.01,NA,NA,NA,NA,3,0.01,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Flounder Atlantic Windowpane (Sand Dab )",1,0.03,NA,NA,NA,NA,1,0.03,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Flounder Atlantic Witch (Gray Sole)",1,0.01,NA,NA,NA,NA,1,0.01,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Flounder Winter",331,37.96,14.22,NA,NA,NA,331,37.96,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Hake Atlantic Red",66,2.88,NA,NA,NA,NA,66,2.88,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Hake Silver (Whiting)",171,6.91,4.64,NA,NA,NA,171,6.91,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Hake White",4,0.55,NA,NA,NA,NA,4,0.55,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Halibut Atlantic",2,1.06,NA,NA,NA,NA,2,1.06,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Herring Blueback",1,0.02,NA,NA,NA,NA,1,0.02,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Jelly Comb",NA,0.07,NA,NA,NA,NA,NA,0.07,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Lobster American",30,14.24,NA,NA,8.8,5.44,30,14.24,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Monkfish",1,0.09,NA,NA,NA,NA,1,0.09,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Plaice American (Dab)",1,0.06,NA,NA,NA,NA,1,0.06,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Redfish Acadian Ocean Perch",3,0.21,NA,NA,NA,NA,3,0.21,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Scallop Sea",2,0.08,NA,NA,NA,NA,2,0.08,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Sculpin Longhorn",20,3.22,NA,NA,NA,NA,20,3.22,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Seaweed Unc",NA,0.04,NA,NA,NA,NA,NA,0.04,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Shad American",2,0.08,NA,NA,NA,NA,2,0.08,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Shrimp Dichelo",214,0.61,NA,NA,NA,NA,214,0.61,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Shrimp Montagui",7,0.02,NA,NA,NA,NA,7,0.02,"SP23094"
"SP23","Spring",2023,94,"5","3","370",2023-06-01,"Squid Long Finned",2,0.03,NA,NA,NA,NA,2,0.03,"SP23094"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Alewife",6,0.29,NA,NA,NA,NA,6,0.29,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Alligatorfish",1,0.006,NA,NA,NA,NA,1,0.006,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Butterfish",1,0.07,NA,NA,NA,NA,1,0.07,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Crab Jonah",18,1.88,NA,NA,NA,NA,18,1.88,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Flounder Winter",82,8.55,NA,NA,NA,NA,82,8.55,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Hake Atlantic Red",17,0.49,NA,NA,NA,NA,17,0.49,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Hake Silver (Whiting)",17,0.61,NA,NA,NA,NA,17,0.61,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Hake White",2,0.23,NA,NA,NA,NA,2,0.23,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Jelly Comb",NA,0.08,NA,NA,NA,NA,NA,0.08,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Lobster American",323,73.84,NA,NA,37.96,35.88,323,73.84,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Lumpfish",2,0.77,NA,NA,NA,NA,2,0.77,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Monkfish",2,0.24,NA,NA,NA,NA,2,0.24,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Northern Cyclocardia",1,0.004,NA,NA,NA,NA,1,0.004,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Sculpin Longhorn",17,2.08,NA,NA,NA,NA,17,2.08,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Sea Raven",1,0.08,NA,NA,NA,NA,1,0.08,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Shad American",1,0.03,NA,NA,NA,NA,1,0.03,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Shrimp Crangon",1,0.002,NA,NA,NA,NA,1,0.002,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Shrimp Dichelo",68,0.18,NA,NA,NA,NA,68,0.18,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Shrimp Montagui",1,0.004,NA,NA,NA,NA,1,0.004,"SP23096"
"SP23","Spring",2023,96,"5","3","244",2023-06-01,"Squid Long Finned",3,0.18,NA,NA,NA,NA,3,0.18,"SP23096"
